en,fr
Van den Bergh has published more than 500 scientific articles.,Van den Bergh a publié jusqu'à présent plus de 500 articles scientifiques.
He received numerous awards for his work and was named an Officer of the Order of Canada.,Il a reçu de nombreux prix pour son travail dont celui d'être nommé officier de l'Ordre du Canada.
Asteroid 4230 bears his name in his honour.,L'astéroïde no 4230 porte son nom en son honneur.
"Astronomers « Return to the astronomers Hubert Reeves (1932- ) A specialist in the origin of light elements and a highly talented popularizer of astronomy, he is often called ""the poet of the stars"" Hubert Reeves was born in 1932 in Montreal, Quebec.","Astronomes « Retour aux astronomes Hubert Reeves (1932- ) Spécialiste de l'origine des éléments légers et vulgarisateur émérite, il est souvent appelé le « poète des étoiles » Hubert Reeves naît en 1932 à Montréal, au Québec."
"He received his bachelor’s degree from the University of Montreal in 1953, his master’s from McGill University in Montreal in 1955, and his doctoral degree from Cornell University in New York in 1960.","Il obtient son baccalauréat de l'Université de Montréal en 1953, sa maîtrise de l'Université McGill à Montréal, en 1955, et son doctorat de l'Université Cornell à New York, en 1960."
"In 1965, he became the Director of the Centre National de la Recherche Scientifique (""National Science Research Centre"") in Paris and a scientific consultant for the Commissariat à l’énergie atomique (""Nuclear Energy Commission"") in Saclay, France.","En 1965, il devient directeur de recherches au Centre National de la Recherche Scientifique à Paris et conseiller scientifique au Commissariat à l'énergie atomique à Saclay, en France."
"A specialist in astrophysics, Reeves studies the thermonuclear reactions that occur in stars; that is, the reactions that create the chemical elements that make up matter.","Spécialisé en astrophysique, Reeves étudie les réactions thermonucléaires qui se produisent dans les étoiles, c'est-à-dire les réactions à l'origine des éléments chimiques qui composent la matière."
"Since 1962, his work has focused on nuclear reactions involving carbon and oxygen.","Ainsi, dès 1962, ses travaux portent sur les réactions nucléaires impliquant le carbone et l'oxygène."
"He also focuses part of his research on neutrinos, a type of subatomic particle that we still know very little about.","Il concentre également une partie de ses études sur les neutrinos, ces particules dont on sait encore peu de choses."
"In 1967, he became increasingly interested in the origin of the light elements lithium, beryllium and boron.","En 1967, il commence plus particulièrement à s'intéresser à l'origine des éléments légers que sont le lithium, le béryllium et le bore."
"The very high temperatures that occur inside stars would destroy these three elements, so they must form elsewhere, namely out in space.","Très fragiles, ces éléments ne résistent pas aux énormes températures que l'on retrouve au coeur des étoiles ; c'est pourquoi leur origine n'est pas à chercher dans les étoiles mais ailleurs, dans l'espace."
"In 1968, he published Stellar Evolution and Nucleosynthesis, and in 1972 he wrote Nuclear Reactions in Stellar Surfaces and their Relations with Stellar Evolution.","En 1968, il publie Stellar Evolution and Nucleosynthesis et en 1972, Nuclear Reactions in Stellar Surfaces and their Relations with Stellar Evolution."
"These were the only two publications, among his many books, that were written for specialists in the field.","Ce seront, parmi les nombreux livres qu'il rédigera, les deux seuls ouvrages qu'il destine à des spécialistes."
"In 1971, Reeves helped demonstrate, along with other colleagues, that a process known as ""spallation"" creates lithium, beryllium and boron.","En 1971, Reeves contribue à démontrer, avec d'autres collègues, que le lithium, le béryllium et le bore se forment par un processus appelé « spallation »."
"During this process, the atomic nuclei of relatively heavy elements, like oxygen, ""break"" under the impact of cosmic rays (particles that travel at high speed through space).","Dans ce processus, des noyaux atomiques relativement lourds, comme l'oxygène, se cassent sous l'impact des rayons cosmiques, c'est-à-dire sous l'effet de particules voyageant à très grande vitesse dans l'espace."
"Some of the ""pieces"" created by these collisions are lithium, beryllium or boron atoms.","Certains des « morceaux » résultant de ces collisions sont du lithium, du béryllium ou du bore."
"In 1972, Reeves collaborated with Johannes Geiss to explain the origin of two other light elements: deuterium and helium-3.","En 1972, Reeves arrive à expliquer, avec l'aide de Johannes Geiss, l'origine de deux autres éléments légers : le deutérium et l'hélium-3."
"The test for their hypothesis was made possible by experiments conducted during the Apollo moon missions, and the results also allowed them to estimate the density of normal matter in the Universe.",Leur démonstration se fait à l'aide d'expériences réalisées lors des missions lunaires Apollo ; ils parviennent du même coup à estimer la densité de matière ordinaire que contient l'Univers.
"In 1977, Reeves published Soleil (""Sun""), his first popular science book.","En 1977, Reeves publie « Soleil », son premier livre de vulgarisation scientifique."
"Four years later, in 1981, he wrote another, Patience dans l’azur (""Patience in the Sky""), about the different steps in the formation of the Universe that gained immediate international acclaim.","Quatre ans plus tard, en 1981, il en publie un second : « Patience dans l'azur », un livre qui connaît un succès international immédiat et qui raconte les différentes étapes de la formation de l'Univers."
"Another 15 or so popular astronomy books were published in the years to follow, some with co-authors.",Une quinzaine d'autres livres du même genre seront publiés les années suivantes ; certains étant rédigés avec des collaborateurs.
"The beginning of the 1980’s marked a time of increasing popularity for Reeves as he gave many public lectures and appeared on television shows and in films, speaking not just on the topic of astronomy, but also the environment.",Le début des années 80 marque aussi le moment où Reeves commence à donner de nombreuses conférences destinées à un large public et à participer à des émissions télévisées et à des films où il parle d'astronomie mais aussi d'environnement.
Reeves received many awards and distinctions for his work in astronomy and public communications.,Reeves a reçu de nombreux prix et plusieurs distinctions pour son travail en astronomie et en vulgarisation.
"In 2001, he and Johannes Geiss received the Einstein prize for their work on the density of the Universe.","En 2001, il reçoit, conjointement avec Johannes Geiss, le prix Einstein pour ses travaux sur la détermination de la densité de l'Univers."
Video sequence   Hubert Reeves explains what science is.,Séquence vidéo  Hubert Reeves explique ce qu'est la science.
"Astronomers « Return to the astronomers René Racine (1939- ) As an inventor of exceptional astronomical instruments, he played a key role in the creation of the Mont-Mégantic Observatory René Racine was born in 1939 in Quebec City.","Astronomes « Retour aux astronomes René Racine (1939- ) Inventeur d'instruments astronomiques hors pair, il a joué un rôle de premier plan dans la création de l'Observatoire du Mont-Mégantic René Racine naît en 1939 à Québec."
"He obtained his bachelor’s degree from Laval University in Quebec City in 1963, and went on to the University of Toronto where he received his master’s degree in 1965 and his doctoral degree in 1967.","Il obtient son baccalauréat de l'Université Laval, à Québec, en 1963, puis sa maîtrise en 1965 et son doctorat en 1967 de l'Université de Toronto."
"He then obtained a research scholarship at the Carnegie Institute and spent the next two years (1967-1969) at the Mount Wilson and Palomar observatories near Pasadena, California.","Il décroche ensuite une bourse de recherche de l'Institut Carnegie et passe les deux années suivantes (de 1967 à 1969) aux observatoires du Mont Wilson et Palomar près de Pasadena, en Californie."
Racine specializes in the study of globular clusters.,Racine se spécialise dans l'étude des amas globulaires.
"Globular clusters are collections of stars that form a spherical shape containing anywhere from 10,000 to millions of stars.",Les amas globulaires sont des regroupements d'étoiles de forme sphérique qui peuvent contenir de 10 000 à plusieurs millions d'étoiles.
"Racine studies them using photometry, a technique that measures the intensity of light emitted from an object, which can be used to extract information about its size, temperature, etc.","Racine les étudie en utilisant la photométrie, une technique qui mesure l'intensité de la lumière émise par un objet et qui permet d'extraire des informations sur sa taille, sa température, etc."
"In 1969, he became a professor in the astronomy and astrophysics department of the University of Toronto.","En 1969, il devient professeur au département d'astronomie et d'astrophysique de l'Université de Toronto."
"Upon his arrival, Racine teamed up with colleagues Sidney van den Bergh and Robert F. Garrison to propose that the new observatory for the university be built at Las Campanas in Chile.","Dès son arrivée, il propose, avec Sidney van den Bergh et Robert F. Garrison, d'établir le nouvel observatoire astronomique de l'Université de Toronto à Las Campanas, au Chili."
"The 60-centimetre telescope saw first light in 1971, and Racine equipped it with a new photometer of his own design.",Le télescope de 60 centimètres voit sa première lumière en 1971 et Racine l'équipe d'un nouveau photomètre de sa conception.
"In 1976, he became astronomy professor for the physics department at the University of Montreal.","En 1976, il devient professeur d'astronomie au département de physique de l'Université de Montréal."
Racine played a key role in the creation of the new Mont-Mégantic Observatory and was its director from 1976 to 1980.,"Il est nommé la même année directeur de l'Observatoire du Mont-Mégantic, poste qu'il conserve jusqu'en 1980."
"In 1980, he was named Executive Director of the Canada-France-Hawaii Telescope Corporation (CFWT).","En 1980, il est nommé directeur de la Société du télescope Canada-France-Hawaï (TCFH)."
"He worked on improving the image quality of the telescope and succeeded in producing the highest resolution images in the world, all the while pursuing his work in astronomical research.","Il travaille alors à l'amélioration de la qualité des images fournies par le télescope, en faisant le meilleur au monde à ce titre, tout en poursuivant ses travaux de recherches en astronomie."
"In 1984, he left his post as Director of the CFWT and returned as Director of the Mont-Mégantic Observatory.","En 1984, il quitte la direction du TCFH et reprend celle de l'Observatoire du Mont-Mégantic."
"In 1997, he retired from his positions as Adjunct Full Professor and Director of the Mont-Mégantic Observatory, and became Professor Emeritus at the University of Montreal.","En 1997, il prend sa retraite comme professeur titulaire et directeur de l'Observatoire du Mont-Mégantic et devient professeur émérite à l'Université de Montréal."
Racine was elected as a member of the Royal Society of Canada in 1989 and the Order of Canada in 1999.,Il est nommé membre de la Société Royale du Canada en 1989 et de l'Ordre du Canada en 1999.
"In 2005, he was made an Officer of the Ordre national du Québec (National Order of Quebec).","En 2005, il est fait officier de l'Ordre national du Québec."
"Astronomers « Return to the astronomers John Barrie Hutchings (1941- ) He was the first to discover a black hole outside our galaxy John Barrie Hutchings was born in 1941 in Johannesburg, South Africa.","Astronomes « Retour aux astronomes John Barrie Hutchings (1941- ) Il est le premier à découvrir un trou noir situé hors de notre galaxie John Barrie Hutchings naît en 1941 à Johannesburg, en Afrique du Sud."
"He received his bachelor’s degree in 1962, his bachelor’s with Honours in 1963, and his master’s in 1964 from the Rand University of South Africa.","Il obtient son baccalauréat en 1962, sa licence en 1963 et sa maîtrise en 1964 de l'Université Rand d'Afrique du Sud."
He then obtained his doctoral degree from the University of Cambridge in England in 1967.,"Il décroche ensuite son doctorat de l'Université de Cambridge, en Angleterre, en 1967."
"From 1967 to 1969, he took a position as a postdoctoral researcher at the Dominion Astrophysical Observatory in Victoria, British Columbia, and he remains there as a researcher to this day.","De 1967 à 1969, il est chercheur postdoctoral à l'Observatoire Fédéral d'Astrophysique de Victoria, en Colombie-Britannique ; il y devient par la suite chercheur permanent."
Hutchings specializes in the atmospheres of OB stars (very hot blue stars).,"Hutchings se spécialise d'abord dans l'étude des atmosphères des « étoiles OB », c'est-à-dire les étoiles bleues très chaudes."
"In 1968, he discovered that these stars, which have very thick atmospheres, generate hot stellar winds.","En 1968, il découvre que ces étoiles, qui ont des atmosphères très épaisses, émettent des vents stellaires chauds."
"In 1983, after ten years of research on binary stars, he made a major discovery:","En 1983, après dix ans de recherches sur les étoiles binaires, il fait une découverte majeure."
"Hutchings, along with coworkers Anne Cowley and David Crampton, identified the first black hole located outside our galaxy.","Il identifie dans le Grand Nuage de Magellan, avec Anne Cowley et David Crampton, le premier trou noir situé hors de notre galaxie."
"Not even one year later, in 1984, he made a second remarkable discovery by proving, along with David Crampton and Bruce Campbell, that quasars are the centres of active galaxies.","À peine un an plus tard, en 1984, il fait une seconde découverte marquante : il prouve, avec David Crampton et Bruce Campbell, que les quasars sont des coeurs de galaxies actives."
Active galaxies are those with centres marked by enormous energy outputs.,Les galaxies actives sont des galaxies possédant un coeur qui émet de grandes quantités d'énergie.
"Over the years, the study of quasars became one of Hutchings specialties.","Leur étude deviendra, avec les années, une des spécialités de Hutchings."
"In 1987, he became part of the FUSE satellite science team as Canada’s Project Scientist (FUSE stands for ""Far Ultraviolet Spectroscopic Explorer"").","En 1987, il devient membre de l'équipe scientifique et scientifique canadien de projet du satellite FUSE (pour Far Ultraviolet Spectroscopic Explorer ou Explorateur Spectroscopique de l'Ultraviolet Lointain, en français)."
"In 1994, Hutchings became Chairman of the Hubble Space Telescope (HST).","En 1994, il est président de projet pour le télescope spatial Hubble."
"In 1997, thanks to a newly installed spectrograph on the HST, he and some of his collaborators were the first to observe plumes of matter emitted from the centres of active galaxies.","En 1997, grâce à un spectrographe nouvellement installé sur le télescope spatial Hubble, il est le premier, avec ses collaborateurs, à observer les panaches de matière émis par les noyaux de galaxies actives."
"In 1998, he was named Canadian Principal Investigator for the proposed CUVIT space mission (Canadian UV Imaging Telescope).","En 1998, il est chercheur canadien principal pour la mission spatiale CUVIT (pour Canadian UV Imaging Telescope ou Télescope Canadien à Imagerie UV, en français)."
"In 2000, Hutchings became Canada’s Principal Investigator for ASTROSAT, a satellite launched by the Indian Space Research Organization to study galactic objects and distant extra-galactic objects.","En 2000, il est le chercheur canadien principal pour la mission spatiale ISRO ASTROSAT (pour Indian Space Research Organization ou Organisation de Recherche Spatiale Indienne, en français)."
Hutchings has published more than 400 scientific articles to date.,Hutchings a publié jusqu'à présent plus de 400 articles scientifiques.
"He received numerous distinctions for his work, including his election as a member of the Royal Society of Canada.",Il a reçu de nombreux prix pour son travail dont celui d'être nommé membre de la Société Royale du Canada.
"Astronomers « Return to the astronomers Charles Thomas Bolton (1943- ) He was the first to discover a black hole Charles Thomas Bolton was born in 1943 at Camp Forrest, a World War II military base in Tennessee, United States.","Astronomes « Retour aux astronomes Charles Thomas Bolton (1943- ) Il est le premier à avoir découvert un trou noir Charles Thomas Bolton naît en 1943 à Camp Forrest, une base militaire de la deuxième guerre mondiale du Tennessee, aux États-Unis."
He received his bachelor’s degree in 1966 from the University of Illinois and his master’s (1968) and doctoral degrees (1970) from the University of Michigan.,"Il obtient son baccalauréat en 1966 de l'Université de l'Illinois, puis sa maîtrise en 1968 et son doctorat en 1970 de l'Université du Michigan."
"From 1970 to 1972, he was a postdoctoral researcher at the David Dunlap Observatory of the University of Toronto astronomy department.","De 1970 à 1972, il est chercheur postdoctoral à l'Observatoire David Dunlap du département d'astronomie de l'Université de Toronto."
"He also taught at the David Dunlap Observatory from 1970 to 1972, at Scarborough College from 1971 to 1972, and at Erindale College from 1972 to 1973.","Il enseigne également à l'Observatoire David Dunlap de 1970 à 1972, au Collège Scarborough de 1971 à 1972 et au Collège Erindale de 1972 à 1973."
"He then became a professor in the astronomy department at the University of Toronto in 1973, and has remained there ever since.","Il devient ensuite professeur au département d'astronomie de l'Université de Toronto en 1973, où il est toujours aujourd'hui."
"In 1970, Bolton was the first to develop a computer model for stellar atmospheres that was able to generate large regions of the modeled spectrum with enough precision to allow comparison with the spectra from real stars.","En 1970, Bolton est le premier à mettre au point un modèle informatique d'atmosphère stellaire capable de générer de grandes régions du spectre avec suffisamment d'exactitude pour permettre des comparaisons avec de vrais spectres d'étoiles."
"In 1972, Bolton made a discovery in astronomy that was so important it guaranteed him a place in the history books: he was the first astronomer to present irrefutable evidence of the existence of a black hole.","En 1972, il réalise une découverte majeure en astronomie qui assure son passage dans les livres d'histoire : il est en effet le premier astronome à présenter des preuves irréfutables de l'existence d'un trou noir."
"The black hole in question was Cygnus X-1, which lies at the centre of our own galaxy, the Milky Way.","Il s'agit de Cygnus X-1, un trou noir se trouvant dans notre galaxie."
Bolton detected its presence by observing star HDE 226868 wobble as if it was orbiting around an invisible but massive companion.,Bolton détecte sa présence en observant l'étoile HDE 226868 osciller sur elle-même comme si elle orbitait autour d'un compagnon invisible et très massif.
His calculations demonstrated that the companion could be nothing less than a black hole.,Les calculs de l'astronome montreront que le compagnon en question ne peut être rien d'autre qu'un trou noir.
"A black hole is a celestial body that is so massive and dense that nothing can escape its gravitational pull (its attractive force), not even light.","Un trou noir est un corps céleste si massif et concentré que rien ne peut échapper à l'influence de sa force de gravité (ou force d'attraction), pas même la lumière."
"The name arises from the fact that it cannot emit light and thus appears black, and it traps all that falls into it, like a hole in space.","Comme il ne peut émettre de lumière, il est donc noir et comme tout ce qui y tombe s'y trouve piégé, on dit qu'il agit comme un « trou » dans l'espace ; d'où son nom de « trou noir »."
"In 1978, Bolton demonstrated that the nitrogen anomalies observed in the spectra of OBN stars are due to the transfer of material to a nearby neighbouring star.","En 1978, Bolton démontre que les anomalies d'azote observées dans les spectres des « étoiles OBN » sont dues à un transfert de matériel d'une étoile OBN à une étoile voisine très proche."
OB stars are very hot blue stars with thick atmospheres.,Les « étoiles OB » sont des étoiles bleues très chaudes qui possèdent des atmosphères très épaisses.
OBN stars are a subclass of OB stars that are characterized by nitrogen anomalies in their spectra.,Les « étoiles OBN » sont des étoiles OB qui ont des anomalies en azote dans leur spectre.
"In 1981, he suggested that the ejections of material from Be-type stars – a subclass of B stars – are caused by non-radial pulsations (vibrations that shake Be stars in an irregular manner).","En 1981, il suggère que les éjections de matériel issu des « étoiles Be » sont causées par des pulsations non radiales ; c'est-à-dire par des vibrations qui secouent de façon désordonnée les étoiles Be."
"Bolton established a Canadian first in the 1990’s when he wrote a bylaw to regulate light pollution that was adopted by the town of Richmond Hill, Ontario, in 1994.","Bolton réalise en 1994 une première canadienne en rédigeant une loi sur le contrôle de la pollution lumineuse qui est adoptée par la ville de Richmond Hill, en Ontario."
"Bolton has received many awards for his work, including being elected as a member of the Royal Society of Canada.",Il a reçu plusieurs prix pour son travail dont celui d'être nommé membre de la Société Royale du Canada.
"Astronomers « Return to the astronomers Jean-René Roy (1943- ) Astrophysicist and current Director of the Gemini Astronomical Observatory, which owns two of the biggest telescopes in the world Jean-René Roy was born in 1943 in Saint-Hyacinthe, Quebec.","Astronomes « Retour aux astronomes Jean-René Roy (1943- ) Astrophysicien, il est présentement directeur de l'Observatoire Astronomique Gemini qui possède deux des plus grands télescopes au monde Jean-René Roy naît en 1943 à Saint-Hyacinthe, au Québec."
He received his bachelor’s degree from the University of Montreal in Quebec in 1969 before moving to the University of Western Ontario in London where he obtained his master’s and doctoral degrees in 1971 and 1973.,"Il obtient son baccalauréat de l'Université de Montréal en 1969 puis déménage à l'Université Western Ontario de London, où il décroche sa maîtrise en 1971 et son doctorat en 1973."
"In 1977, he organized a workshop on the causes of the Cretaceous-Tertiary mass extinction that marked the disappearance of the dinosaurs.","Il revient au Canada en 1975, où on le retrouve comme associé de recherche au nouvel Institut Herzberg d'Astrophysique, à Ottawa."
"That same year, Roy became an astronomy professor in the physics department at Laval University in Quebec City and later contributed to the creation of the Mont-Mégantic Observatory, which was inaugurated in 1978.","Il réalise alors des travaux sur le Soleil dans les domaines des ondes radio, du visible et des rayons X. En 1977, il organise même un atelier sur les causes de l'extinction massive du Crétacé-Tertiaire à l'origine de la disparition des dinosaures."
"In 1982, Roy published his first book, L’astronomie et son histoire (""Astronomy and its History"").","En 1982, il publie un premier livre intitulé « L'astronomie et son histoire »."
"That same year, he and his colleagues, Yvon Georgelin and Jacques Boulesteix, designed a new Fabry-Perot interferometer for the Mont-Mégantic Observatory.","La même année, il conçoit avec Yvon Georgelin et Jacques Boulesteix, un nouvel interféromètre Fabry-Perot pour l'Observatoire du Mont-Mégantic."
Other instruments were to follow.,D'autres appareils suivront par la suite.
"In 1997, he became a member of the board of directors for the Gemini Project, a proposal to construct the two largest telescopes in the world.","En 1997, il devient membre du conseil d'administration du projet Gemini qui vise à construire les deux plus grands télescopes au monde."
One of the telescopes would be located in the northern hemisphere (Hawaii) and the other in the southern hemisphere (Chile).,"Un des télescopes sera situé dans l'hémisphère nord (à Hawaï), le second dans l'hémisphère sud (au Chili)."
"In 2000, he left Laval University to become the scientific director for the Gemini North Observatory in Hawaii.","En 2000, il quitte l'Université Laval pour devenir directeur scientifique de l'Observatoire Astronomique Gemini Nord à Hawaï."
"His current research interests are spiral galaxies, the processes of massive star formation, and the chemical enrichment in galaxies.","Ses travaux portent présentement sur l'évolution des galaxies spirales, les processus de formation des étoiles massives et l'enrichissement chimique des galaxies."
"Astronomers « Return to the astronomers Peter Gordon Martin (1947- ) A specialist in the study of interstellar matter, he was involved in numerous international research projects Peter Gordon Martin was born in 1947 at Owen Sound  in Ontario.","Astronomes « Retour aux astronomes Peter Gordon Martin (1947- ) Spécialiste de l'étude de la matière interstellaire, il est impliqué dans de nombreux projets de recherche internationaux Peter Gordon Martin naît en 1947 à Owen Sound, en Ontario."
He obtained his bachelor’s degree from the University of Toronto in 1968 and his master’s degree in 1969.,Il obtient de l'Université de Toronto son baccalauréat en 1968 et sa maîtrise en 1969.
"Three years later, in 1972, he received his doctoral degree from the University of Cambridge in England, and then returned to the University of Toronto to take a post as professor.","Trois ans plus tard, en 1972, il décroche son doctorat de l'Université de Cambridge, en Angleterre, puis retourne à l'Université de Toronto où on l'engage comme professeur."
He strives to understand its origin and its relationship to stars.,Martin cherche à comprendre son origine et sa relation avec les étoiles.
"To do this, he analyzes and interprets data gathered by telescopes on Earth and in space, and integrates these data into theoretical computer simulations.","Pour ce faire, il utilise des données acquises par des télescopes terrestres et spatiaux qu'il analyse, interprète et incorpore à des simulations théoriques par ordinateur."
"During the first 15 years of his career, Martin concentrated mainly on interstellar dust.","Durant les quinze premières années de sa carrière, Martin concentre principalement ses travaux sur la poussière interstellaire."
"Subjected to the magnetic fields produced by various celestial objects, interstellar dust tends to align itself in space like a magnet.","Soumise à l'influence de champs magnétiques produits par différents objets célestes, la poussière interstellaire a tendance à s'aligner dans l'espace comme l'aiguille d'un aimant."
"Any light passing through these particles likewise become aligned (the light becomes ""polarized""), and by studying this light, it becomes possible to extract information about the composition and shape of the interstellar grains.",Toute lumière qui passe au travers s'oriente alors d'elle-même (on dit « se polarise ») grâce aux grains de poussière et c'est en étudiant cette lumière qu'il devient possible d'extraire de l'information quant à la composition et la forme des grains interstellaires.
"In 1984, Martin became the first person from the astronomy department at the University of Toronto to become a member of the Canadian Institute for Theoretical Astrophysics.","En 1984, Martin devient le premier membre de l'Institut Canadien d'Astrophysique Théorique issu du département d'astronomie de l'Université de Toronto."
"Not long after, in 1987, he became interested in the collisions affecting hydrogen molecules of interstellar gas clouds where stars are born.","Peu de temps après, en 1987, il commence à s'intéresser aux collisions subies par les molécules d'hydrogène peuplant les nuages de gaz interstellaires dans lesquels naissent les étoiles."
His contributions in this field have repercussions for our understanding of how the first stars of the Universe came to be.,Ses travaux ont des répercussions jusque dans notre compréhension de la formation des premières étoiles de l'Univers.
Martin used the Orion nebula as a case study in 1991 to examine the conditions within nebulas and other regions where interstellar matter is concentrated.,"En 1991, il prend pour cas type la nébuleuse d'Orion afin d'étudier les conditions qui règnent à l'intérieur des nébuleuses et d'autres régions où la matière interstellaire se concentre."
The results of these studies have improved our understanding of the evolution of galaxies in the Universe.,Les résultats de ses études permettent de mieux comprendre l'évolution des galaxies et de l'Univers.
"In 1995, he became a permanent member of the science committee that manages the Canadian Galactic Plane Survey, a project that aims to map a large portion (60 degrees) of our galaxial plane at several different wavelengths using a common resolution.","En 1995, il devient membre permanent du comité scientifique qui gère le Relevé canadien du plan galactique, un projet qui vise à cartographier une partie (soit 60 degrés) du plan de notre galaxie à plusieurs longueurs d'ondes avec une sensibilité uniforme."
"Martin uses the collected data to study the formation of massive stars and the evolution of interstellar dust, as well as its influence on the ecology of our galaxy.",Martin utilise les données recueillies pour étudier la formation des étoiles massives et l'évolution de la matière interstellaire ainsi que son influence sur l'écologie de la galaxie.
"In 1999, Martin was named Director of the University of Toronto’s David Dunlap Observatory.","En 1999, Martin est nommé directeur de l'Observatoire David Dunlap de l'Université de Toronto."
"He is currently involved in a number of international research projects, including the James Webb Space Telescope (the successor of the Hubble Space Telescope), the Herschel Space Observatory, the Spitzer Space Telescope, and the Planck space mission.","Il est présentement impliqué dans de nombreux projets de recherche internationaux dont le télescope spatial James Webb (le successeur du télescope spatial Hubble), l'Observatoire spatial Herschel, le télescope spatial infrarouge Spitzer et la mission spatiale Planck."
Martin received the Carlyle S. Beals Award in 1994 from the Astronomical Society of Canada in recognition of his research contributions.,"En 1994, il a reçu le prix Carlyle S. Beals de la Societé Canadienne d'Astronomie pour ses travaux de recherche."
Video sequence   Peter Gordon Martin talks about interstellar dust.,Séquence vidéo  Peter Gordon Martin parle des poussières cosmiques.
"Astronomers « Return to the astronomers Gilles Fontaine (1948- ) An asteroseismologist and world specialist in white dwarf stars Gilles Fontaine was born in 1948 at Lévis, near Quebec City.","Astronomes « Retour aux astronomes Gilles Fontaine (1948- ) Astéroséismologue, il est le spécialiste mondial des étoiles naines blanches Gilles Fontaine naît en 1948 à Lévis, près de Québec."
"In 1969, he obtained his bachelor’s degree from Laval University in Quebec City, and his doctoral degree in 1974 from the University of Rochester in the state of New York.","En 1969, il obtient son baccalauréat de l'Université Laval et en 1974, son doctorat de l'Université Rochester, dans l'état de New York."
"He then took a postdoctoral position at the University of Western Ontario in London, and in 1977 he became a professor at the University of Montreal.","Il effectue ensuite un stage postdoctoral à l'Université de Western Ontario, à London, et en 1977, il devient professeur à l'Université de Montréal."
Fontaine has specialized in the study of white dwarf stars since he first started his doctoral studies.,Fontaine se spécialise dans l'étude des étoiles naines blanches dès le début de son doctorat.
A white dwarf forms when a star depletes its nuclear fuel.,Une naine blanche se forme lorsqu'une étoile épuise son carburant nucléaire.
Asteroseismologists – scientist who study the vibrations of stars – can measure these changes in intensity with an instrument known as a photometer.,Un astéroséismologue est un spécialiste de l'étude des vibrations qui secouent les étoiles.
"There is a great interest for studying stellar vibrations because they allow scientists to obtain information about the internal structure of a star, and thus about its size, mass and composition.","L'intérêt d'étudier de telles vibrations est grand puisqu'il permet d'obtenir des informations sur la structure interne d'une étoile et donc sur ses dimensions, sa masse et ses constituants."
"It is analogous to seismology, in which geophysicists study earthquakes as a means to probe the internal structure of the Earth.",C'est un domaine d'étude comparable à la séismologie où les géophysiciens étudient les tremblements de terre de façon à sonder la structure interne de la Terre.
"In 1982, only one year after forming, the team used mathematical models to predict the existence of a new type of pulsating star: the DB-type white dwarf.","En effet, un an plus tard, en 1982, Fontaine et ses collaborateurs des universités de Rochester, du Texas et du Colorado, prédisent par des modèles mathématiques l'existence d'un nouveau type d'étoile vibrante : les naines blanches de type DB."
"That same year, their prediction was confirmed by telescopic observations of a DB white dwarf.","La même année, leur prédiction se trouve confirmée par l'observation au télescope d'une naine blanche de type DB."
"It was a first in astrophysics because, up to that point, new star types were discovered before being theoretically predicted.","Il s'agit d'une première en astrophysique, car on a jusqu'alors toujours découvert accidentellement un nouveau type d'étoiles avant que la théorie ne le fasse."
"In 1987, Fontaine and his collaborators had the idea to determine the age of the Universe using white dwarfs.","En 1987, Fontaine et ses collaborateurs ont l'idée de déterminer l'âge de l'Univers avec des naines blanches."
"Since white dwarfs are very old stars nearing the end of their life, to determine their age would effectively estimate the age of the galaxy and – in the bigger picture – that of the Universe.","Comme il s'agit d'étoiles très vieilles qui sont en fin de vie, déterminer leur âge revient à estimer celui de notre galaxie et, dans une plus large mesure, celui de l'Univers."
"In order to accomplish this goal, Fontaine designed numerical simulation models that weighted several parameters for a given star – such as mass, temperature and luminosity – and calculated the time that it would take for the white dwarf to cool.","Pour y arriver, Fontaine conçoit des modèles de simulation numérique qui prennent en compte plusieurs paramètres comme la masse, la température et la luminosité d'une étoile et qui calculent le temps pris à une naine blanche pour refroidir."
"In 1990, Fontaine published the first results within the framework of the Montréal-Cambridge-Tololo Project, which he helped develop.","En 1990, Fontaine publie les premiers résultats qu'il obtient dans le cadre du projet Montréal-Cambridge-Tololo."
The main goal of the project was the systematic exploration of white dwarfs in the southern hemisphere.,Il s'agit d'un projet qu'il a contribué à instaurer et qui a pour but l'exploration systématique des naines blanches de l'hémisphère sud.
"In 1996, Fontaine and his team once again theoretically predicted the existence of a new type of star, a B-type white subdwarf, and astronomers once again confirmed its existence, this time at the South African Astronomical Observatory in 1997.","En 1996, Fontaine et son équipe prédisent théoriquement l'existence d'un nouveau type d'étoiles, les sous-naines blanches de type B ; elle seront observées pour la première fois en 1997 par des astronomes de l'Observatoire Astronomique d'Afrique du Sud."
"In the years since, Fontaine and his collaborators have continued to predict other types of stars.","Pendant les années qui suivent, Fontaine et ses collaborateurs découvrent d'autres types d'étoiles."
"Fontaine received numerous distinctions for his work, including being elected as a member of the Royal Society of Canada.",Fontaine a reçu de nombreuses reconnaissances pour son travail dont celle d'être nommé membre de la Société Royale du Canada.
Asteroid 4230 is named in his honour.,L'astéroïde no 4230 porte son nom en son honneur.
Video sequence   Gilles Fontaine explains what asteroseismology is.,Séquence vidéo  Gilles Fontaine explique ce qu'est l'astéroséismologie.
